,Still Default Borrowers (future),Disbursement Gross (Jumlah pinjaman yang cair),Total Disbursement,Collateral,Loan covered by SBA,IF TRUE DEFAULT,LOSS,Max Rate (Bunga tetap),Fees (Biaya pencairan pinjaman),,,Loss
99% success to reject,-,Median Disbursement Gross,Total Borrowers x Disbursement Gross,20%,75% x Total Disbursement Gross,,,"2,50%",4%,,,
0,34.838,$106.228,$3.700.771.064,$740.154.213,$1.850.385.532,$2.590.539.745,$1.110.231.319,$92.519.277,$148.030.843,,,$869.681.200
