,Still Default Borrowers (future),Disbursement Gross (Jumlah pinjaman yang cair),Total Disbursement,Collateral,Loan covered by SBA,IF TRUE DEFAULT,LOSS,Max Rate (Bunga tetap),Fees (Biaya pencairan pinjaman),Pinalty,,Loss
99% success to reject,-,Median Disbursement Gross,Total Borrowers x Disbursement Gross,35%,75% x Total Disbursement Gross,,,"2,75%",4%,2%,,
34.490,348,$106.228,$37.007.711,$12.952.699,$18.503.855,$31.456.554,$5.551.157,$1.017.712,$1.480.308,$740.154,,$3.053.136
